,./nmf_tap_rev_unf.exe,./nmf_tap_for_unf.exe,./nmf_tap_rev.exe,./nmf_tap_for.exe,./nmf_diff.exe,./nmf_diff_dps.exe,python ./NMF.py exponential,mono nmf_fsharp_for.exe,mono nmf_fsharp_rev.exe
100,2.26E-01,1.98E+01,1.00E-02,1.79E+01,1.10E-02,1.10E-02,1.12E-01,4.84E+02,1.80E+01
200,6.93E-01,6.29E+01,2.00E-02,3.56E+01,2.20E-02,2.10E-02,1.39E-01,1.07E+03,3.99E+01
400,1.38E+00,1.29E+02,4.00E-02,7.11E+01,5.60E-02,6.40E-02,2.21E-01,2.38E+03,9.12E+01
800,3.09E+00,2.62E+02,8.40E-02,1.43E+02,1.79E-01,1.78E-01,2.88E-01,5.23E+03,2.22E+02
1600,6.17E+00,5.56E+02,1.83E-01,2.87E+02,4.88E-01,4.82E-01,4.86E-01,1.16E+04,5.82E+02
3200,1.31E+01,1.16E+03,3.26E-01,5.64E+02,8.97E-01,9.02E-01,1.05E+00,2.63E+04,1.65E+03
