,./mults_tap_rev.exe,./mults_tap_for.exe,./mults_diff.exe,./mults_diff_dps.exe,python micro.py mults,mono mults_fsharp_for.exe,mono mults_fsharp_rev.exe
200,0.0591,0.0015,0.001,5.0E-4,0.822,1.4,7.6
400,0.156,0.0019,0.0011,5.0E-4,1.7515,1.5,24.5
800,0.6363,0.0041,0.0025,0.0011,3.85,1.6,92.2
1600,2.572,0.0086,0.0049,0.002,9.35,1.7,410.3
3200,10.2701,0.0169,0.0136,0.0043,27.4861,2.5,1646.3
6400,41.197299,0.0324,0.0188,0.0083,89.6871,3.4,6866.1
12800,164.628003,0.0618,0.0366,0.0165,313.1214,5.6,27699.1
25600,658.640186,0.1264,0.0731,0.0342,1168.298,9.8,108871.1
