,./nmf_tap_rev_unf.exe,./nmf_tap_for_unf.exe,./nmf_tap_rev.exe,./nmf_tap_for.exe,./nmf_diff.exe,./nmf_diff_dps.exe,python ./NMF.py exponential,mono nmf_fsharp_for.exe,mono nmf_fsharp_rev.exe
100,2.26E-01,1.98E+01,1.00E-02,1.79E+01,1.10E-02,1.10E-02,1.12E-01,4.84E+02,1.80E+01
200,7.62E-01,9.28E+01,2.00E-02,7.36E+01,2.20E-02,2.20E-02,1.38E-01,2.13E+03,3.67E+01
400,1.39E+00,3.77E+02,4.40E-02,3.00E+02,5.00E-02,4.80E-02,1.84E-01,9.55E+03,8.53E+01
800,2.96E+00,,8.50E-02,,1.22E-01,1.29E-01,2.76E-01,,1.97E+02
1600,6.05E+00,,1.80E-01,,3.37E-01,3.24E-01,4.98E-01,,4.95E+02
3200,1.29E+01,,3.42E-01,,5.01E-01,4.99E-01,9.59E-01,,1.17E+03
