,./add_tap_rev.exe,./add_tap_for.exe,./add_diff.exe,./add_diff_dps.exe,python micro.py add
100,0.0679,0.225,0.0308,0.0138,0.4411
200,0.0597,0.1966,0.1212,0.0552,0.8561
400,0.2398,0.8023,0.4922,0.2176,1.8148
800,0.9413,3.3669,1.9553,0.8711,4.5007
1600,4.2863,13.4144,7.8538,3.7918,13.0087
3200,17.3418,53.560699,31.047699,15.7037,49.5321
6400,69.1203,215.733398,124.225903,63.384698,166.679
