,./dot_tap_rev.exe,./dot_tap_for.exe,./dot_diff.exe,./dot_diff_dps.exe,python micro.py dot
200,3.0E-4,0.0362,8.0E-4,3.0E-4,0.0334
400,7.0E-4,0.151,0.0012,5.0E-4,0.0347
800,0.0011,0.6235,0.0023,0.001,0.0348
1600,0.0022,2.5509,0.0047,0.002,0.0355
3200,0.0044,10.2289,0.0095,0.0042,0.0385
6400,0.009,40.984201,0.0184,0.0083,0.0448
12800,0.018,164.302795,0.0364,0.0167,0.0586
25600,0.037,657.360986,0.0729,0.0339,0.0807
