,./ba_proj_tap_rev.exe,./ba_proj_tap_for.exe,./ba_proj_diff_fused_nomotion.exe,./ba_proj_diff_fused.exe,./ba_proj_diff_fused_dps.exe,python micro.py ba,mono ba_fsharp_for.exe,mono ba_fsharp_rev.exe
29,0.0224,0.0271,0.0548,0.0192,0.0173,6.2613,2.8,2.7
47,0.0758,0.0768,0.1703,0.0554,0.0487,20.2512,5.3,4.9
86,0.3276,0.2969,0.632,0.2053,0.1872,78.3129,15.1,14.3
161,1.2648,1.1154,2.3345,0.8509,0.716,297.2399,53.0,50.8
311,5.1044,4.2116,9.056,3.2696,2.807,1190.4621,197.6,197.6
611,20.2814,16.4522,35.3311,12.7958,10.8803,4790.5755,795.8,827.6
1211,97.638,65.0883,140.673596,49.7194,42.649799,19669.8723,3449.7,4140.2
2411,421.589111,259.927808,552.55542,196.062,168.346594,75004.556,20609.0,21452.6
