,./max_tap_rev.exe,./max_tap_for.exe,./max_diff.exe,./max_diff_dps.exe,python micro.py max,mono max_fsharp_for.exe,mono max_fsharp_rev.exe
200,4.0E-4,0.017,8.0E-4,4.0E-4,0.0332,5.2,1.8
400,7.0E-4,0.0607,0.0015,8.0E-4,0.0336,15.7,1.8
800,0.0013,0.2367,0.003,0.0015,0.0344,57.0,1.9
1600,0.0025,0.9578,0.0057,0.0028,0.037,368.7,2.0
3200,0.0053,3.7558,0.0124,0.0056,0.0436,1460.6,2.6
6400,0.0096,14.901401,0.0221,0.0111,0.0535,5828.6,3.3
12800,0.019,59.481897,0.0433,0.0222,0.0768,23449.1,5.1
25600,0.0382,237.11709,0.0862,0.0473,0.1208,940.2,8.2
