,./add_tap_rev.exe,./add_tap_for.exe,./add_diff.exe,./add_diff_dps.exe,python micro.py add,mono add_fsharp_for.exe,mono add_fsharp_rev.exe
50,0.0051,0.0237,0.0103,0.0039,0.5925,4.1,4.7
100,0.0172,0.0842,0.0465,0.0173,1.0865,8.3,7.4
200,0.0679,0.3577,0.1682,0.0681,2.1658,25.5,19.9
400,0.258,1.2051,0.6505,0.2434,4.3799,94.7,71.4
800,1.0481,4.6781,2.6223,0.9739,10.4443,391.0,273.3
1600,5.3014,17.483099,10.5127,4.5403,24.3589,2343.2,1234.4
3200,23.005701,68.715503,41.190701,18.339101,74.4331,11732.5,5327.7
6400,92.271698,274.479004,166.110803,73.484802,257.643,73435.5,27918.9
