,./max_tap_rev.exe,./max_tap_for.exe,./max_diff.exe,./max_diff_dps.exe,python micro.py max,mono max_fsharp_for.exe,mono max_fsharp_rev.exe,futhark/time_futhark.sh max,python micro_tf.py max
800,0.0047,2.2022,0.0062,0.0047,0.0656,57.5,3.5,2.1865,0.5414
1600,0.0085,8.8638,0.0119,0.008,0.0666,444.0,3.0,8.3213,0.5676
3200,0.0158,34.739099,0.0273,0.0156,0.0776,1730.8,3.7,31.8119,0.6728
6400,0.0294,139.454102,0.0475,0.0322,0.0809,6821.6,4.6,133.2707,0.5622
12800,0.0576,555.726904,0.0951,0.0625,0.1009,26719.8,6.8,483.0125,0.6072
25600,0.1163,2220.639648,0.19,0.1251,0.141,109409.4,13.3,1948.0235,0.7018
51200,0.282,9906.884375,0.4755,0.3597,0.2156,,20.3,7969.9007,0.8876
