,./mults_tap_rev.exe,./mults_tap_for.exe,./mults_diff.exe,./mults_diff_dps.exe,python micro.py mults,mono mults_fsharp_for.exe,mono mults_fsharp_rev.exe
200,0.0394,0.0025,9.0E-4,6.0E-4,2.3187,2.4,10.9
400,0.1414,0.0034,0.0018,7.0E-4,4.3337,3.1,33.0
800,0.6396,0.0062,0.003,0.0013,9.2714,3.6,122.2
1600,2.4261,0.0111,0.0065,0.0025,20.6321,3.1,572.8
3200,9.2551,0.0279,0.0119,0.0047,50.9174,4.0,2220.7
6400,36.1332,0.0432,0.027,0.009,147.6281,5.7,9004.8
12800,141.401196,0.0828,0.0476,0.0173,454.8298,9.9,38692.2
25600,576.650586,0.1911,0.0981,0.0362,1571.2341,20.0,
