,./ba_proj_tap_rev.exe,./ba_proj_tap_for.exe,./ba_proj_diff_nofusion.exe,./ba_proj_diff_nonmotion.exe,./ba_proj_diff_nomotion.exe,./ba_proj_diff.exe,./ba_proj_diff_dps.exe,python micro.py ba,mono ba_fsharp_for.exe,mono ba_fsharp_rev.exe,futhark/time_futhark.sh ba,python micro_tf.py ba
29,0.1294,0.068,0.06,0.0176,0.0124,0.0114,0.011,10.8866,8.4,9.8,0.0084,13.0888
47,0.5154,0.1186,0.1112,0.0334,0.028,0.0254,0.0228,36.6338,9.0,12.8,0.0135,25.1494
86,2.0074,0.2844,0.2358,0.0654,0.0432,0.0422,0.0444,148.0422,10.0,26.0,0.0214,45.5392
161,9.2854,0.5506,0.5098,0.1582,0.0926,0.099,0.0814,555.4192,11.2,74.2,0.0322,87.4212
311,30.289001,1.0102,0.8214,0.2562,0.1596,0.1464,0.1412,2105.7668,15.4,274.8,0.0588,168.6522
611,122.154004,1.8556,1.5384,0.466,0.3168,0.3414,0.2798,8048.8466,23.6,1172.2,0.1258,334.4876
1211,471.731787,3.4886,2.9838,0.871,0.6348,0.6078,0.49,32182.6196,39.8,6060.8,0.2274,675.4162
2411,1940.828906,7.3494,6.5222,1.8806,1.3148,1.3804,0.986,127495.185,78.6,29313.0,0.4353,1477.2472
