,./dot_tap_rev.exe,./dot_tap_for.exe,./dot_diff.exe,./dot_diff_dps.exe,python micro.py dot,mono dot_fsharp_for.exe,mono dot_fsharp_rev.exe,futhark/time_futhark.sh dot,python micro_tf.py dot
100,0.0013,0.0079,5.0E-4,4.0E-4,0.0682,2.7,0.8,0.0094,0.6754
200,0.0014,0.0347,0.001,5.0E-4,0.0666,8.0,1.4,0.0389,0.6552
400,0.0016,0.132,0.0017,8.0E-4,0.068,30.0,1.5,0.1486,0.8836
800,0.0023,0.5515,0.0036,0.0014,0.0666,118.7,2.0,0.565,0.6504
1600,0.0038,2.1859,0.0061,0.0023,0.0721,704.9,2.1,2.4036,0.7526
3200,0.0062,8.6553,0.0123,0.0045,0.0728,2699.9,5.2,9.3956,0.8458
6400,0.0111,34.546799,0.0241,0.0089,0.078,10835.9,11.9,36.2679,0.6954
12800,0.0209,137.934094,0.0473,0.0181,0.0897,43096.8,35.6,148.8745,0.7708
